green_red,dose,count
2.2,0,MID
2.2,0,MID
2.2,0,MID
2.2,0,MID
2.2,0,MID
2.2,0,MID
2.2,0,MID
2.2,0,MID
2.2,0,MID
2.2,0,MID
2.2,0,MID
2.2,0,MID
2.2,0,MID
2.2,0,MID
2.2,0,MID
2.2,0,MID
2.2,0,MID
2.2,0,MID
2.2,0,MID
2.2,0,MID
2.2,0,MID
2.2,0,MID
2.2,0,MID
2.2,0,MID
2.2,0,MID
2.2,0,MID
2.2,0,MID
2.2,0,MID
2.2,0,MID
2.2,0,MID
2.2,0,MID
2.2,0,MID
2.3,0,HIGH
2.2,0,MID
2.2,0,MID
2.2,0,MID
2.2,0,MID
2.2,0,MID
2.2,0,MID
2.2,0,MID
2.2,0,MID
2.2,0,MID
2.2,0,MID
2.2,0,MID
2.3,0,HIGH
2.2,0,MID
2.2,0,MID
2.2,0,MID
2.2,0,MID
3.2,0,LOW
2.2,0,MID
2.2,0,MID
2.2,0,MID
2.2,0,MID
2.2,0,MID
3.3,0,MID
2.2,0,MID
2.2,0,MID
2.2,0,MID
3.2,0,LOW
4.4,0,MID
2.2,0,MID
2.3,0,HIGH
2.2,0,MID
2.2,0,MID
2.2,0,MID
2.2,0,MID
2.2,0,MID
2.2,0,MID
3.2,0,LOW
2.2,0,MID
2.2,0,MID
2.2,0,MID
2.2,0,MID
2.2,0,MID
2.2,0,MID
2.2,0,MID
2.2,0,MID
2.2,0,MID
2.2,0,MID
2.2,0,MID
2.2,0,MID
2.2,0,MID
2.2,0,MID
2.2,0,MID
2.2,0,MID
2.2,0,MID
2.2,0,MID
2.2,0,MID
2.2,0,MID
2.2,0,MID
2.2,0,MID
2.2,0,MID
2.2,0,MID
2.2,0,MID
2.2,0,MID
2.2,0,MID
2.2,0,MID
2.2,0,MID
2.2,0,MID
2.2,0,MID
2.2,0,MID
2.2,0,MID
2.2,0,MID
2.2,0,MID
2.2,0,MID
2.2,0,MID
2.2,0,MID
2.2,0,MID
2.2,0,MID
2.2,0,MID
2.2,0,MID
2.2,0,MID
