green_red,dose,count
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
3.2,5,LOW
2.2,5,MID
2.2,5,MID
2.3,5,HIGH
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
3.2,5,LOW
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
3.3,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.3,5,HIGH
2.2,5,MID
2.2,5,MID
2.2,5,MID
3.3,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
3.2,5,LOW
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,5,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
3.2,10,LOW
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
3.2,10,LOW
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.3,10,HIGH
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.3,10,HIGH
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.3,10,HIGH
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.3,10,HIGH
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
3.2,10,LOW
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,10,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.3,15,HIGH
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
3.2,15,LOW
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.3,15,HIGH
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
3.2,15,LOW
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.3,15,HIGH
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,15,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.3,20,HIGH
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.3,20,HIGH
2.2,20,MID
2.2,20,MID
2.2,20,MID
3.2,20,LOW
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
3.3,20,MID
2.2,20,MID
2.2,20,MID
3.2,20,LOW
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.2,20,MID
2.3,20,HIGH
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
3.2,25,LOW
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.3,25,HIGH
2.2,25,MID
2.2,25,MID
3.2,25,LOW
2.2,25,MID
2.2,25,MID
2.2,25,MID
3.3,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
3.2,25,LOW
3.2,25,LOW
3.3,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
3.2,25,LOW
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
3.2,25,LOW
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.3,25,HIGH
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.3,25,HIGH
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
3.3,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.3,25,HIGH
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,25,MID
2.2,30,MID
2.2,30,MID
2.2,30,MID
2.2,30,MID
2.2,30,MID
2.2,30,MID
2.2,30,MID
2.2,30,MID
2.2,30,MID
2.2,30,MID
2.2,30,MID
2.2,30,MID
3.2,30,LOW
2.2,30,MID
2.2,30,MID
2.2,30,MID
2.2,30,MID
2.2,30,MID
2.2,30,MID
2.2,30,MID
2.2,30,MID
2.2,30,MID
2.2,30,MID
3.2,30,LOW
2.2,30,MID
2.3,30,HIGH
2.2,30,MID
2.2,30,MID
2.2,30,MID
2.2,30,MID
2.2,30,MID
2.2,30,MID
2.2,30,MID
2.2,30,MID
2.2,30,MID
2.2,30,MID
2.2,30,MID
2.2,30,MID
2.2,30,MID
2.2,30,MID
2.2,30,MID
2.2,30,MID
2.2,30,MID
2.2,30,MID
2.2,30,MID
2.2,30,MID
2.2,30,MID
3.2,30,LOW
2.2,30,MID
2.2,30,MID
2.2,30,MID
2.2,30,MID
2.2,30,MID
2.2,30,MID
2.2,30,MID
2.2,30,MID
2.2,30,MID
2.2,30,MID
2.2,30,MID
2.2,30,MID
2.2,30,MID
2.2,30,MID
2.2,30,MID
2.2,30,MID
2.2,30,MID
2.2,30,MID
2.2,30,MID
2.2,30,MID
2.2,30,MID
2.2,30,MID
2.2,30,MID
2.2,30,MID
2.2,30,MID
2.2,30,MID
2.2,30,MID
2.2,30,MID
2.3,30,HIGH
2.2,30,MID
2.2,30,MID
2.2,30,MID
2.2,30,MID
2.2,30,MID
2.2,30,MID
2.2,30,MID
2.2,30,MID
2.2,30,MID
2.2,30,MID
2.2,30,MID
2.2,30,MID
2.2,30,MID
2.2,30,MID
2.2,30,MID
2.2,30,MID
2.2,30,MID
2.2,30,MID
2.2,30,MID
2.2,30,MID
2.2,30,MID
2.2,30,MID
2.2,30,MID
2.2,30,MID
2.2,30,MID
2.2,30,MID
2.2,30,MID
2.2,30,MID
2.2,30,MID
2.2,30,MID
3.2,30,LOW
2.2,30,MID
2.2,30,MID
2.2,30,MID
2.2,30,MID
2.2,30,MID
2.2,30,MID
3.3,30,MID
2.2,30,MID
2.2,30,MID
2.2,30,MID
2.2,30,MID
2.2,30,MID
2.3,30,HIGH
2.2,30,MID
2.2,30,MID
2.2,30,MID
